key	method	level	statistic	point	ci_lo	ci_hi
bitdensity	bitdensity, q&t cov>=70	family	auprc	0.731766955782011	0.7194128339415965	0.7430699743029062
bits	Foldseek bits	family	auprc	0.7700936615828258	0.756155628104699	0.7843481095232308
cabid	CABid	family	auprc	0.7900360325124482	0.77788797127169	0.8021676187948698
foldseek_tm	Foldseek-TM	family	auprc	0.7843119701389482	0.7709799821648426	0.7975726537210038
tmalign	TMalign	family	auprc	0.7746742011880494	0.7596268342135685	0.7890453508813328
bitdensity	bitdensity, q&t cov>=70	family	r99	0.5245756630621751	0.5000291306601345	0.5635880071811832
bits	Foldseek bits	family	r99	0.3129862031572411	0.2819195922288894	0.3972041098128014
cabid	CABid	family	r99	0.5238400273778765	0.4862325927197216	0.5691026056822501
foldseek_tm	Foldseek-TM	family	r99	0.4797876611236009	0.3867656424840215	0.5242016542910408
tmalign	TMalign	family	r99	0.4032118860407577	0.343672108452946	0.4849910980241301
bitdensity	bitdensity, q&t cov>=70	superfamily	auprc	0.3485248938147242	0.3333619449870169	0.3640938772728163
bits	Foldseek bits	superfamily	auprc	0.3705620576010459	0.3528741695166688	0.3890805762781285
cabid	CABid	superfamily	auprc	0.3755633739053911	0.3590886355034866	0.3922471591460491
foldseek_tm	Foldseek-TM	superfamily	auprc	0.4174808366818043	0.3967762294939805	0.4381517685169036
tmalign	TMalign	superfamily	auprc	0.3957347682658125	0.3741376787425528	0.4183804572260534
bitdensity	bitdensity, q&t cov>=70	superfamily	r99	0.1084392875062371	0.0882538773835035	0.1339015124862429
bits	Foldseek bits	superfamily	r99	0.0428595040613796	0.0351020453502272	0.0588146877908858
cabid	CABid	superfamily	r99	0.0904551361790903	0.0829541551686419	0.1276799545689332
foldseek_tm	Foldseek-TM	superfamily	r99	0.0826797062957861	0.0430906514233787	0.1247313665378368
tmalign	TMalign	superfamily	r99	0.0551099611905393	0.0424866088864717	0.0980040438403172
cabid_sym	CABid symmetric	family	auprc	0.7984151280185466	0.7863702782061103	0.8102217261213894
cabid_sym	CABid symmetric	family	r99	0.5354830705784303	0.5023198248725808	0.5784470424369845
cabid_sym	CABid symmetric	superfamily	auprc	0.3895695902054302	0.3723723972178118	0.4077057374950512
cabid_sym	CABid symmetric	superfamily	r99	0.1082577730085809	0.083744099566676	0.1260597570988756
bitdensity_tgt	bitdensity, tcov>=70	family	auprc	0.7296217888416981	0.7181008781690883	0.741278039332848
bitdensity_tgt	bitdensity, tcov>=70	family	r99	0.4775956230351949	0.4250479096794198	0.5054972339257157
bitdensity_tgt	bitdensity, tcov>=70	superfamily	auprc	0.3159076858917964	0.3005051362245675	0.3309821120299279
bitdensity_tgt	bitdensity, tcov>=70	superfamily	r99	0.0750923832919996	0.0663610632690566	0.1048812746713982
