cv_fold	a	k_lin	k_sym
0	0.0	0.2909081547677089	0.2882584446977595
1	0.0	0.3195672198540952	0.3377118801365922
2	0.0	0.3404794775028817	0.3489484268842693
3	0.0	0.3526898064050166	0.3601360944824609
4	0.0	0.3902847471725099	0.4121617798787191
0	0.1	0.1859605663154609	0.1842103176938941
1	0.1	0.1930490574970036	0.2032887580067796
2	0.1	0.2073175518729802	0.2118596726287829
3	0.1	0.2081299307255259	0.21177308467459
4	0.1	0.2301203384180671	0.2421945762676496
0	0.2	0.1212269459786757	0.120152830771755
1	0.2	0.120319985776347	0.1262657098329583
2	0.2	0.129589867082129	0.1321236522232044
3	0.2	0.126749235088347	0.1285736294840872
4	0.2	0.1399580343843149	0.1467200880083131
0	0.3	0.0806273629238332	0.0800242247988694
1	0.3	0.0775433979175758	0.0811152460632736
2	0.3	0.0833066770545075	0.0848080390341381
3	0.3	0.0799933227434346	0.0809598950575676
4	0.3	0.0881894728878138	0.0920674375624396
0	0.4	0.0547328823675967	0.0544427082003647
1	0.4	0.051710402745412	0.0539392703080374
2	0.4	0.0551419748044895	0.0561003639955384
3	0.4	0.0524445626040689	0.0530141896478138
4	0.4	0.0576796963306271	0.0599852494236585
0	0.5	0.0379554243953941	0.0378653411252637
1	0.5	0.0356588996110198	0.0371066989302974
2	0.5	0.0376119155582228	0.0382729267342249
3	0.5	0.0357423204955831	0.0361306585861556
4	0.5	0.0391478859373957	0.040583888556661
0	0.525	0.0347578159833057	0.0347042401840812
1	0.525	0.0326604867530978	0.0339685796204783
2	0.525	0.0343448314506644	0.0349539439883917
3	0.525	0.0326716917332603	0.033032860491861
4	0.525	0.0357340184445904	0.0370197780095295
0	0.55	0.0318760544618287	0.0318544761817086
1	0.55	0.0299735518975768	0.031158400756594
2	0.55	0.0314223101330713	0.0319858021006455
3	0.55	0.0299360105335111	0.0302746546486648
4	0.55	0.0326897997745745	0.0338447117739303
0	0.575	0.0292767030516832	0.0292829982122102
1	0.575	0.0275614257854638	0.0286372976291522
2	0.575	0.0288044491466253	0.0293276145227025
3	0.575	0.0274939076653978	0.0278136968784549
4	0.575	0.0299697861667127	0.0310104906844971
0	0.6	0.0269299365514568	0.0269603269949748
1	0.6	0.0253920094317949	0.026371287040015
2	0.6	0.0264561420871528	0.0269434526173185
3	0.6	0.0253093371871593	0.025613115223281
4	0.6	0.0275344493337154	0.0284752583093712
0	0.625	0.0248091325293952	0.024860146663355
1	0.625	0.0234371597625663	0.0243306137727633
2	0.625	0.0243464582160649	0.0248017036762799
3	0.625	0.0233508495339446	0.0236407815782334
4	0.625	0.0253493757730582	0.0262026345330238
0	0.65	0.0228904404955602	0.0229588822099656
1	0.65	0.0216721142512397	0.0224891300366662
2	0.65	0.0224480477319326	0.0228744545291683
3	0.65	0.0215908917771959	0.0218686140930455
4	0.65	0.0233845095806719	0.0241608926258036
0	0.675	0.0211524687870085	0.0212354001693366
1	0.675	0.0200750697008967	0.020823835781651
2	0.675	0.0207367045966651	0.0211370304024596
3	0.675	0.0200052858284808	0.0202720467013113
4	0.675	0.0216135762686791	0.0223223253615885
0	0.7	0.0195760302459548	0.0196707697336416
1	0.7	0.0186268346927164	0.0193145009820546
2	0.7	0.0191910063331622	0.0195676143691393
3	0.7	0.0185728284287328	0.0188295991687456
4	0.7	0.0200136013155367	0.0206627140382297
0	0.725	0.0181438984728223	0.0182480286601369
1	0.725	0.0173104950401007	0.0179433094639073
2	0.725	0.0177919757434849	0.0181468912865893
3	0.725	0.0172749415996171	0.017522485314939
4	0.725	0.0185644615650896	0.0191608423358032
0	0.75	0.0168406656980759	0.0169520420372289
1	0.75	0.0161111770901449	0.0166946106628389
2	0.75	0.0165228490271405	0.0168578055114483
3	0.75	0.0160954264177511	0.0163343329253153
4	0.75	0.0172485580048691	0.0177981490239362
0	0.775	0.0156525727276829	0.0157693235848068
1	0.775	0.0150157930685385	0.0155546543148935
2	0.775	0.0153688239402042	0.0156853034147731
3	0.775	0.0150201844312435	0.0152508887358217
4	0.775	0.0160504831060747	0.01655838424958
0	0.8	0.0145673881852861	0.014687903340654
1	0.8	0.0140128529474538	0.014511390169621
2	0.8	0.0143168684667654	0.0146161417588999
3	0.8	0.0140369833941087	0.0142597855850795
4	0.8	0.0149567712719509	0.0154273547366632
0	0.825	0.0135742786430816	0.0136971883046322
1	0.825	0.0130922944822537	0.0135542820286835
