a	model	nth	tp_pooled
0.0	Xa	1	3844
0.1	Xa	1	4173
0.2	Xa	1	4629
0.3	Xa	1	5245
0.4	Xa	1	6266
0.5	Xa	1	7388
0.525	Xa	1	7749
0.55	Xa	1	8115
0.575	Xa	1	8507
0.6	Xa	1	8899
0.625	Xa	1	8009
0.65	Xa	1	7169
0.675	Xa	1	6405
0.7	Xa	1	5701
0.725	Xa	1	5047
0.75	Xa	1	4406
0.775	Xa	1	3839
0.8	Xa	1	3326
0.825	Xa	1	2839
0.85	Xa	1	2382
0.875	Xa	1	1985
0.9	Xa	1	1640
0.925	Xa	1	1293
0.95	Xa	1	1008
0.975	Xa	1	768
1.0	Xa	1	574
1.1	Xa	1	123
1.2	Xa	1	20
1.3	Xa	1	5
1.4	Xa	1	0
1.5	Xa	1	0
0.0	Xa	2	3956
0.1	Xa	2	4593
0.2	Xa	2	5016
0.3	Xa	2	5490
0.4	Xa	2	6334
0.5	Xa	2	7910
0.525	Xa	2	8424
0.55	Xa	2	8936
0.575	Xa	2	9503
0.6	Xa	2	8913
0.625	Xa	2	9375
0.65	Xa	2	9833
0.675	Xa	2	10390
0.7	Xa	2	10753
0.725	Xa	2	9761
0.75	Xa	2	8822
0.775	Xa	2	7923
0.8	Xa	2	7050
0.825	Xa	2	6224
0.85	Xa	2	5521
0.875	Xa	2	4864
0.9	Xa	2	4202
0.925	Xa	2	3639
0.95	Xa	2	3090
0.975	Xa	2	2651
1.0	Xa	2	2235
1.1	Xa	2	752
1.2	Xa	2	127
1.3	Xa	2	5
1.4	Xa	2	0
1.5	Xa	2	0
0.0	Xa	3	4629
0.1	Xa	3	4789
0.2	Xa	3	5363
0.3	Xa	3	5958
0.4	Xa	3	6870
0.5	Xa	3	8216
0.525	Xa	3	8630
0.55	Xa	3	9059
0.575	Xa	3	9507
0.6	Xa	3	9984
0.625	Xa	3	10553
0.65	Xa	3	11061
0.675	Xa	3	11614
0.7	Xa	3	10890
0.725	Xa	3	11435
0.75	Xa	3	12080
0.775	Xa	3	11597
0.8	Xa	3	10340
0.825	Xa	3	9026
0.85	Xa	3	7740
0.875	Xa	3	6566
0.9	Xa	3	5536
0.925	Xa	3	4562
0.95	Xa	3	3748
0.975	Xa	3	3005
1.0	Xa	3	2393
1.1	Xa	3	877
1.2	Xa	3	141
1.3	Xa	3	5
1.4	Xa	3	0
1.5	Xa	3	0
0.0	Xa	4	4649
0.1	Xa	4	5015
0.2	Xa	4	5382
0.3	Xa	4	6079
0.4	Xa	4	7155
0.5	Xa	4	8605
0.525	Xa	4	9006
0.55	Xa	4	9397
0.575	Xa	4	9846
0.6	Xa	4	10107
0.625	Xa	4	10789
0.65	Xa	4	11402
0.675	Xa	4	11813
0.7	Xa	4	12279
0.725	Xa	4	12916
0.75	Xa	4	12403
0.775	Xa	4	11643
0.8	Xa	4	10814
0.825	Xa	4	10074
0.85	Xa	4	9293
0.875	Xa	4	7951
0.9	Xa	4	6713
0.925	Xa	4	5596
0.95	Xa	4	4592
0.975	Xa	4	3719
1.0	Xa	4	2981
1.1	Xa	4	991
1.2	Xa	4	166
1.3	Xa	4	9
1.4	Xa	4	1
1.5	Xa	4	0
0.0	Xa	5	4742
0.1	Xa	5	5028
0.2	Xa	5	5391
0.3	Xa	5	6340
0.4	Xa	5	7265
0.5	Xa	5	8698
0.525	Xa	5	9180
0.55	Xa	5	9656
0.575	Xa	5	9862
0.6	Xa	5	10384
0.625	Xa	5	10877
0.65	Xa	5	11461
0.675	Xa	5	11985
0.7	Xa	5	12609
0.725	Xa	5	13228
0.75	Xa	5	12496
0.775	Xa	5	11862
0.8	Xa	5	10824
0.825	Xa	5	10099
0.85	Xa	5	9293
0.875	Xa	5	7951
0.9	Xa	5	6713
0.925	Xa	5	5596
0.95	Xa	5	4592
0.975	Xa	5	3719
1.0	Xa	5	2981
1.1	Xa	5	991
1.2	Xa	5	191
1.3	Xa	5	14
1.4	Xa	5	1
1.5	Xa	5	0
0.0	Xa	6	4801
0.1	Xa	6	5063
0.2	Xa	6	5519
0.3	Xa	6	6386
0.4	Xa	6	7372
0.5	Xa	6	8821
0.525	Xa	6	9257
0.55	Xa	6	9685
0.575	Xa	6	10137
0.6	Xa	6	10713
0.625	Xa	6	11226
0.65	Xa	6	11786
0.675	Xa	6	12216
0.7	Xa	6	13007
0.725	Xa	6	13230
0.75	Xa	6	12921
0.775	Xa	6	12236
0.8	Xa	6	11484
0.825	Xa	6	10683
0.85	Xa	6	9382
0.875	Xa	6	8662
0.9	Xa	6	7496
0.925	Xa	6	6178
0.95	Xa	6	4994
0.975	Xa	6	3950
1.0	Xa	6	3097
1.1	Xa	6	993
1.2	Xa	6	191
1.3	Xa	6	20
1.4	Xa	6	1
1.5	Xa	6	0
0.0	Xa_cov70	1	3798
0.1	Xa_cov70	1	4108
0.2	Xa_cov70	1	4556
0.3	Xa_cov70	1	5128
0.4	Xa_cov70	1	6093
0.5	Xa_cov70	1	7121
0.525	Xa_cov70	1	7449
0.55	Xa_cov70	1	7780
0.575	Xa_cov70	1	8133
0.6	Xa_cov70	1	8497
0.625	Xa_cov70	1	8904
0.65	Xa_cov70	1	9306
0.675	Xa_cov70	1	9794
0.7	Xa_cov70	1	10237
0.725	Xa_cov70	1	10703
0.75	Xa_cov70	1	11277
0.775	Xa_cov70	1	11806
0.8	Xa_cov70	1	12366
0.825	Xa_cov70	1	12955
0.85	Xa_cov70	1	12411
0.875	Xa_cov70	1	11786
0.9	Xa_cov70	1	11106
0.925	Xa_cov70	1	10539
0.95	Xa_cov70	1	9981
0.975	Xa_cov70	1	9372
1.0	Xa_cov70	1	8808
1.1	Xa_cov70	1	6891
1.2	Xa_cov70	1	5185
1.3	Xa_cov70	1	3883
1.4	Xa_cov70	1	2892
1.5	Xa_cov70	1	2245
0.0	Xa_cov70	2	3908
0.1	Xa_cov70	2	4519
0.2	Xa_cov70	2	4931
0.3	Xa_cov70	2	5362
0.4	Xa_cov70	2	6159
0.5	Xa_cov70	2	7609
0.525	Xa_cov70	2	8072
0.55	Xa_cov70	2	8541
0.575	Xa_cov70	2	9054
0.6	Xa_cov70	2	9478
0.625	Xa_cov70	2	9990
0.65	Xa_cov70	2	10425
0.675	Xa_cov70	2	10920
0.7	Xa_cov70	2	11498
0.725	Xa_cov70	2	12060
0.75	Xa_cov70	2	12646
0.775	Xa_cov70	2	13254
0.8	Xa_cov70	2	13773
0.825	Xa_cov70	2	13096
0.85	Xa_cov70	2	13509
0.875	Xa_cov70	2	13287
0.9	Xa_cov70	2	12589
0.925	Xa_cov70	2	11984
0.95	Xa_cov70	2	11386
0.975	Xa_cov70	2	10858
1.0	Xa_cov70	2	10325
1.1	Xa_cov70	2	8207
1.2	Xa_cov70	2	6491
1.3	Xa_cov70	2	4947
1.4	Xa_cov70	2	3846
1.5	Xa_cov70	2	3075
0.0	Xa_cov70	3	4554
0.1	Xa_cov70	3	4714
0.2	Xa_cov70	3	5255
0.3	Xa_cov70	3	5816
0.4	Xa_cov70	3	6665
0.5	Xa_cov70	3	7892
0.525	Xa_cov70	3	8264
0.55	Xa_cov70	3	8660
0.575	Xa_cov70	3	9058
0.6	Xa_cov70	3	9594
0.625	Xa_cov70	3	10202
0.65	Xa_cov70	3	10737
0.675	Xa_cov70	3	11254
0.7	Xa_cov70	3	11803
0.725	Xa_cov70	3	12348
0.75	Xa_cov70	3	12890
0.775	Xa_cov70	3	13509
0.8	Xa_cov70	3	13862
0.825	Xa_cov70	3	13669
0.85	Xa_cov70	3	13577
0.875	Xa_cov70	3	13340
0.9	Xa_cov70	3	13119
0.925	Xa_cov70	3	12928
0.95	Xa_cov70	3	12737
0.975	Xa_cov70	3	12564
1.0	Xa_cov70	3	12419
1.1	Xa_cov70	3	10826
1.2	Xa_cov70	3	8696
1.3	Xa_cov70	3	6923
1.4	Xa_cov70	3	5424
1.5	Xa_cov70	3	4350
0.0	Xa_cov70	4	4574
0.1	Xa_cov70	4	4932
0.2	Xa_cov70	4	5273
0.3	Xa_cov70	4	5928
0.4	Xa_cov70	4	6934
0.5	Xa_cov70	4	8250
0.525	Xa_cov70	4	8614
0.55	Xa_cov70	4	8972
0.575	Xa_cov70	4	9388
0.6	Xa_cov70	4	9848
0.625	Xa_cov70	4	10280
0.65	Xa_cov70	4	10790
0.675	Xa_cov70	4	11462
0.7	Xa_cov70	4	12165
0.725	Xa_cov70	4	12808
