cv_fold	a	model	level	auprc	max_recall	recall@P99	recall@P95	recall@P90	tp_before_1st_global_fp
0	0.0	Xa	family	0.7687736725081912	0.9541629584556474	0.397699475003344	0.6214011660952568	0.6845583339643364	1124
0	0.0	Xa	fold	0.0130312179530523	0.8186606583905268	4.225292601512655e-05	4.225292601512655e-05	4.225292601512655e-05	1124
0	0.0	Xa	superfamily	0.3767241973203575	0.9038053622225204	0.0366011184503713	0.1271081279250658	0.1980736414991289	1124
0	0.0	Xa_cov70	family	0.7248178182458593	0.9541629584556496	0.3824561430896726	0.6097181434007174	0.6680026683408987	1102
0	0.0	Xa_cov70	fold	0.0188789709910694	0.8186606583906331	4.225292601512655e-05	4.225292601512655e-05	4.225292601512655e-05	1102
0	0.0	Xa_cov70	superfamily	0.3540923791342023	0.9038053622225092	0.0345729780016452	0.1201139780310549	0.1899440884341305	1102
0	0.0	Xa_ktcov	family	0.7785293400665594	0.9541629584556482	0.3977623978135147	0.6243241133638743	0.6990021114770129	1142
0	0.0	Xa_ktcov	fold	0.0161329890931052	0.8186606583905052	4.225292601512655e-05	4.225292601512655e-05	4.225292601512655e-05	1142
0	0.0	Xa_ktcov	superfamily	0.3922374114282648	0.9038053622225218	0.0364281628886016	0.1289026629287837	0.1960515854249279	1142
0	0.0	sym_max	family	0.7778429283301488	0.9541629584556476	0.3997367841277363	0.619644790889943	0.6925185451030648	1123
0	0.0	sym_max	fold	0.0155251324437684	0.8186606583905233	4.225292601512655e-05	4.225292601512655e-05	4.225292601512655e-05	1123
0	0.0	sym_max	superfamily	0.3916806605109897	0.9038053622225232	0.0367274626145129	0.1264672485309148	0.1968990950832524	1123
0	0.0	sym_mean	family	0.7813562676939119	0.954162958455648	0.4017427855353923	0.6209425874941723	0.6945129120948197	1136
0	0.0	sym_mean	fold	0.0171034424835096	0.818660658390532	4.225292601512655e-05	4.225292601512655e-05	4.225292601512655e-05	1136
0	0.0	sym_mean	superfamily	0.3974857234801173	0.9038053622225256	0.0365443446146797	0.1279922736316719	0.1951946451798991	1136
0	0.0	sym_min	family	0.7830636203310111	0.9541629584556478	0.4016670939550298	0.6247364685633754	0.69621608140664	1134
0	0.0	sym_min	fold	0.0181462443902531	0.8186606583905377	4.225292601512655e-05	4.225292601512655e-05	4.225292601512655e-05	1134
0	0.0	sym_min	superfamily	0.4003906476823909	0.9038053622225264	0.0365608160943127	0.130276067165833	0.1994736496769576	1134
1	0.0	Xa	family	0.8125613437010166	0.9614991793099306	0.5479321795124255	0.7049606012228996	0.7432310630710697	1820
1	0.0	Xa	fold	0.0218673731466381	0.8306613757832948	0.0001348860213119	0.0001348860213119	0.0001348860213119	1820
1	0.0	Xa	superfamily	0.4287752180644253	0.9184131139050392	0.1095389719670781	0.2197390110122587	0.2843079080856588	1820
1	0.0	Xa_cov70	family	0.7547313465043123	0.9614991793099302	0.5376245226787425	0.6854608145677907	0.7138123801558518	1799
1	0.0	Xa_cov70	fold	0.0276848334401668	0.8306613757831945	0.0001348860213119	0.0001348860213119	0.0001348860213119	1799
1	0.0	Xa_cov70	superfamily	0.4001967306614902	0.9184131139050378	0.105132740335846	0.2331245129912011	0.2883355906728217	1799
1	0.0	Xa_ktcov	family	0.8199974545162134	0.9614991793099306	0.5580273945046227	0.711947968848849	0.7511340991600656	1813
1	0.0	Xa_ktcov	fold	0.0262314239612324	0.8306613757832348	0.0001348860213119	0.0001348860213119	0.0001348860213119	1813
1	0.0	Xa_ktcov	superfamily	0.4439609375279957	0.9184131139050408	0.1025447458945274	0.2255194781586614	0.305022680432541	1813
1	0.0	sym_max	family	0.8215888359105007	0.96149917930993	0.5559890923250354	0.7158922840208295	0.7524274961612798	1824
1	0.0	sym_max	fold	0.0255877540087889	0.830661375783266	0.0001348860213119	0.0001348860213119	0.0001348860213119	1824
1	0.0	sym_max	superfamily	0.4462363809435807	0.9184131139050408	0.109944570928791	0.2189201877647342	0.3019880329207274	1824
1	0.0	sym_mean	family	0.8231646167854809	0.9614991793099305	0.5598269996930972	0.7166276978494303	0.7572726430487225	1829
1	0.0	sym_mean	fold	0.0275075346491579	0.830661375783271	0.0001348860213119	0.0001348860213119	0.0001348860213119	1829
1	0.0	sym_mean	superfamily	0.449973214245953	0.9184131139050432	0.1106548161006082	0.2188967510461738	0.3132075148855115	1829
1	0.0	sym_min	family	0.8228496181776221	0.9614991793099306	0.5583068057242035	0.7165441599898047	0.754913520866696	1832
1	0.0	sym_min	fold	0.0285284321930309	0.8306613757832709	0.0001348860213119	0.0001348860213119	0.0001348860213119	1832
1	0.0	sym_min	superfamily	0.4501871163602712	0.9184131139050452	0.1100817106484898	0.2284567446154179	0.3051548591116255	1832
2	0.0	Xa	family	0.7529275502220983	0.9536124700015932	0.4207595957247285	0.6121434627551873	0.6663214533626632	1002
2	0.0	Xa	fold	0.0171398410777163	0.8704769921228409	0.0	0.0	0.0	1002
2	0.0	Xa	superfamily	0.34464210975088	0.9271034943471383	0.0255733233994494	0.0831844492109667	0.1675579247790364	1002
2	0.0	Xa_cov70	family	0.7073091539235397	0.9536124700015992	0.4022204970278344	0.595555861205421	0.6502717988669278	985
2	0.0	Xa_cov70	fold	0.0250675475101518	0.8704769921227848	0.0	0.0	0.0	985
2	0.0	Xa_cov70	superfamily	0.3294767768265979	0.9271034943470996	0.0230783444041643	0.0777080762072305	0.1695483625682901	985
2	0.0	Xa_ktcov	family	0.7639893233265829	0.953612470001594	0.417622679736741	0.6168428808866948	0.6822309724352469	1010
2	0.0	Xa_ktcov	fold	0.0220023550271716	0.870476992122801	0.0	0.0	0.0	1010
2	0.0	Xa_ktcov	superfamily	0.3626312306272072	0.9271034943471372	0.0252722772318999	0.0820440526624674	0.1651275530772623	1010
2	0.0	sym_max	family	0.7632093718142589	0.9536124700015938	0.4167292039077195	0.6180898076889642	0.6775974626481128	999
2	0.0	sym_max	fold	0.0208243396944901	0.8704769921228124	0.0	0.0	0.0	999
2	0.0	sym_max	superfamily	0.3610002409039649	0.9271034943471363	0.0254748303432099	0.0820905321462285	0.16532119641197	999
2	0.0	sym_mean	family	0.7669901134780808	0.953612470001594	0.4223691997205576	0.6215686290817187	0.6812429717755667	1012
2	0.0	sym_mean	fold	0.0232109339138473	0.8704769921228236	0.0	0.0	0.0	1012
2	0.0	sym_mean	superfamily	0.3676332787517807	0.9271034943471348	0.0253193826066232	0.0919873373004212	0.1685966440600502	1012
2	0.0	sym_min	family	0.7683696747852006	0.953612470001594	0.4246958749991643	0.6212955200163998	0.6846823803085048	1008
2	0.0	sym_min	fold	0.0246369781107972	0.8704769921228293	0.0	0.0	0.0	1008
2	0.0	sym_min	superfamily	0.370224185346327	0.9271034943471322	0.0253293222728492	0.0896526344601238	0.1756247742083891	1008
3	0.0	Xa	family	0.7792008158894467	0.9498506766053396	0.4036508346521889	0.6317909700349708	0.6945780446664755	1395
3	0.0	Xa	fold	0.0160879689619545	0.8195665288485027	4.018323555412682e-05	4.018323555412682e-05	4.018323555412682e-05	1395
3	0.0	Xa	superfamily	0.3822786231539835	0.9028496086758864	0.0384062439799884	0.1222133940832589	0.1960069160246511	1395
3	0.0	Xa_cov70	family	0.7413225119669422	0.9498506766053436	0.3917425182341268	0.6212019079287475	0.6854099539631071	1372
3	0.0	Xa_cov70	fold	0.0239593269808193	0.8195665288484381	4.018323555412682e-05	4.018323555412682e-05	4.018323555412682e-05	1372
3	0.0	Xa_cov70	superfamily	0.3670841535025395	0.902849608675875	0.0362779023786499	0.1147868003702682	0.1945841409037763	1372
3	0.0	Xa_ktcov	family	0.7912121843368423	0.9498506766053392	0.4034171031597396	0.6375568099141203	0.7097644382044401	1416
