domain	alnlen	evalue	bits
d1a99a_.pdb	341	6.274e-73	3051.0
d1bxya_.pdb	60	3.032e-11	416.0
d1hjua_.pdb	332	1.866e-77	2993.0
d1biha2.pdb	111	6.691e-23	1003.0
d1kxga_.pdb	144	1.221e-28	1321.0
d1xtpa_.pdb	246	1.892e-57	2205.0
d1n2sa_.pdb	298	2.69e-66	2637.0
d1j4wa1.pdb	74	1.237e-14	586.0
d1rj8a_.pdb	140	1.555e-28	1305.0
d2ahob2.pdb	79	1.624e-16	697.0
d2ozza1.pdb	227	7.688e-54	1960.0
d1v7pb_.pdb	127	8.637e-26	1070.0
d2dcfa1.pdb	384	4.529e-78	3452.0
d1r5aa1.pdb	129	4.378e-21	975.0
d1znna1.pdb	245	7.634e-52	2048.0
d1rxda_.pdb	150	4.411e-33	1220.0
d2gdma_.pdb	153	5.345e-22	1102.0
d1d02a_.pdb	197	4.085e-46	1694.0
d1tg7a1.pdb	97	2.343e-20	841.0
d2a2ka_.pdb	171	1.485e-40	1489.0
d2ooia1.pdb	157	6.683e-33	1396.0
d1iy8a_.pdb	258	1.244e-56	2215.0
d1bd0a1.pdb	148	1.683e-33	1384.0
d1n97a_.pdb	385	6.624e-68	3267.0
d4a1ua_.pdb	150	1.632e-22	1075.0
d1jt6a1.pdb	71	2.671e-10	396.0
d1ktba1.pdb	95	2.551e-18	846.0
d1ybza1.pdb	74	4.443e-10	396.0
d1zdya_.pdb	301	1.867e-68	2719.0
d1m1eb_.pdb	65	8.378e-10	373.0
d1owfa_.pdb	96	6.66e-19	746.0
d1v0aa1.pdb	164	7.991e-33	1530.0
d2qjla_.pdb	99	4.4e-23	839.0
d3giua_.pdb	212	6.301e-50	1896.0
d1pvza_.pdb	31	2.464e-07	250.0
d1px5a2.pdb	183	5.758e-39	1489.0
d2c9aa2.pdb	163	1.327e-34	1540.0
d3taob_.pdb	258	4.991e-56	2242.0
d2p9ba2.pdb	289	7.249e-61	2424.0
d2baya_.pdb	56	5.131e-12	456.0
d2waga_.pdb	217	3.764e-50	1907.0
d1uz5a3.pdb	143	1.729e-32	1227.0
d2qfaa_.pdb	137	2.932e-26	1000.0
d3ctka1.pdb	246	2.544e-56	2148.0
d1ofla_.pdb	481	9.881e-86	4377.0
d2c4ba1.pdb	108	1.621e-24	937.0
d2hqva1.pdb	172	2.335e-35	1460.0
d1mo9a3.pdb	140	6.227e-31	1221.0
d1v59a2.pdb	122	7.171e-27	1065.0
d2oeza1.pdb	241	2.662e-45	1955.0
