source_family	canonical_family	functional_class	confidence	assumption
5'-nucleotidase family	5'-nucleotidase	enzyme	high	
ab hydrolase superfamily	alpha/beta-hydrolase	enzyme	high	
acrorhagin i family	acrorhagin	uncharacterized venom family	medium	
actinoporin family	actinoporin	membrane-active / pore-forming	high	
aegyptin family	aegyptin (collagen-binding)	hemostasis-active (non-enzymatic)	high	
anophelin family	anophelin (thrombin inhibitor)	hemostasis-active (non-enzymatic)	high	
ant myrmeciitoxin-01 family	ant linear cationic peptide (myrmeciitoxin)	membrane-active / pore-forming	high	
ant venom allergen 2/4 family	ant venom allergen Sol i 2/4	auxiliary / non-toxin-like	medium	lipid-binding allergen, PBP/GOBP-related; grouped as allergen/binding protein not toxin
apyrase family	apyrase (nucleotide phosphohydrolase)	enzyme	high	
arthropod chh/mih/gih/vih hormone family	CHH/MIH neurohormone	hormone / neuropeptide-like	high	
arthropod phospholipase d family	phospholipase D (SicTox)	enzyme	high	
asilidin-1 family	asilidin	uncharacterized venom family	medium	Asilidae (robber fly) venom peptides
asilidin-12 family	asilidin	uncharacterized venom family	medium	Asilidae (robber fly) venom peptides
avit (prokineticin) family	AVIT/prokineticin (MIT1/Bv8)	hormone / neuropeptide-like	high	GPCR agonist; colipase fold
beta-defensin family	beta-defensin	membrane-active / pore-forming	medium	structural family spanning AMPs and defensin-fold neurotoxins (e.g. platypus DLP)
bombinin family	bombinin	membrane-active / pore-forming	high	
bradykinin inhibitor peptide family	bradykinin-related peptide	hormone / neuropeptide-like	medium	grouped with BPP/BRP: all act on the kallikrein-kinin axis
bradykinin-potentiating peptide family	bradykinin-related peptide	hormone / neuropeptide-like	high	
bradykinin-related peptide family	bradykinin-related peptide	hormone / neuropeptide-like	high	
calmodulin family	calmodulin	auxiliary / non-toxin-like	high	housekeeping protein recovered in venom datasets
calycin family	lipocalin (calycin)	auxiliary / non-toxin-like	high	
calycin superfamily	lipocalin (calycin)	auxiliary / non-toxin-like	high	
cart family	CART peptide	hormone / neuropeptide-like	high	
caterpillar 1 family	caterpillar venom peptide	uncharacterized venom family	medium	numbered Lepidoptera venom clusters merged
caterpillar 11 family	caterpillar venom peptide	uncharacterized venom family	medium	numbered Lepidoptera venom clusters merged
caterpillar 2 family	caterpillar venom peptide	uncharacterized venom family	medium	numbered Lepidoptera venom clusters merged
caterpillar 3 family	caterpillar venom peptide	uncharacterized venom family	medium	numbered Lepidoptera venom clusters merged
caterpillar 4 family	caterpillar venom peptide	uncharacterized venom family	medium	numbered Lepidoptera venom clusters merged
